,id,gene_i,gene_j,type,coef.est,pval
1288,1288,199,475,interaction,18.9061805621521,0.109384064078482
157,157,166,NA,main,16.8651769266061,0.109461278829043
13,13,13,NA,main,13.4971676430392,0.109739694670649
96,96,102,NA,main,10.6473866994241,0.109865330229786
437,437,473,NA,main,94.2143757078021,0.109928091982474
276,276,298,NA,main,-17.3561697063934,0.110062124412
205,205,218,NA,main,-16.0363111866021,0.110075166950936
471,471,509,NA,main,-6.84340200611749,0.110078543781962
1302,1302,205,239,interaction,16.3770636038239,0.110149144505169
403,403,435,NA,main,-15.8922430723914,0.110168965466397
485,485,523,NA,main,20.6906931372177,0.110265377696462
1597,1597,353,444,interaction,77.6124902247408,0.110267437856508
768,768,42,166,interaction,-31.1922327105985,0.110283415889086
1515,1515,304,511,interaction,-47.8751053990007,0.110330693313474
762,762,39,342,interaction,-52.1440630637524,0.110455312687851
